1.014892	0.5543292	4.892807
1.047505	0.3892401	4.511325
1.6983	0.2982801	5.209986
2.044382	0.2760018	5.043867
2.990916	0.2176679	5.191807
3.593878	0.1354522	5.161753
4.255547	0.1648397	5.433327
4.670263	0.1481801	5.120847
5.251417	0.1271635	4.825914
5.267293	0.1216834	5.423506
5.905749	0.06329996	4.87968
6.673922	0.1256145	5.00687
7.318441	0.08629228	4.649107
8.124935	0.1010471	5.46424
8.450951	0.1048616	4.750535
8.575491	0.1653115	5.580596
9.946663	0.1150557	5.240801
10.216	0.1498099	5.311647
10.67808	0.162309	4.80661
11.04064	0.1549056	4.564011
11.56684	0.1238384	5.142052
11.57909	0.1333215	4.869483
12.32484	0.1752895	5.277554
12.67093	0.1407283	5.316736
13.48558	0.1988829	5.446424
13.08715	0.2410651	4.512749
14.09883	0.1955096	4.806121
14.8371	0.1946756	5.23337
15.20044	0.2635874	5.157074
15.91832	0.263598	4.665886
16.08904	0.2135971	4.785617
16.87285	0.2525647	4.409944
17.34772	0.2613451	4.725413
17.67566	0.2927638	3.910063
17.95369	0.2617692	4.232321
18.27333	0.2627336	4.059723
18.92217	0.3266452	3.862134
19.35474	0.3584596	4.079367
19.69657	0.3645454	3.876283
20.15562	0.367622	4.112032
19.97008	0.3796707	3.50583
20.77788	0.3782804	3.786478
20.70483	0.4057276	3.775144
21.38561	0.4015779	3.382438
21.78059	0.4506521	3.223975
21.91286	0.4619306	2.967071
22.39827	0.5417454	3.37282
22.44786	0.5020776	2.776926
23.02042	0.5657554	3.018032
22.77598	0.567455	2.088345
23.27857	0.5400205	3.009403
23.59188	0.5575289	1.964596
24.24129	0.5300348	2.162649
24.02551	0.5978702	2.138422
24.42838	0.5870345	1.748815
24.38126	0.632018	1.730798
24.51675	0.6085898	1.71283
25.22058	0.6540478	0.4803339
25.00306	0.6477343	1.139959
24.96016	0.6959447	1.211753
25.33677	0.6986472	0.7226981
25.85594	0.7545977	-0.06123462
